Course_Code,Course_Name,Essential_1,Essential_2,Relevant,Desirable,Cut_off
BAM,Bachelor of Medicine and Bachelor of Surgery,Biology,Chemistry,Mathematics/Physics,General Paper,48.3

AGR,Bachelor of Science in Agriculture,Biology,Chemistry/Agriculture,Geography/Mathematics/Physics,General Paper,38.7
AGB,Bachelor of Agribusiness,Economics/Agriculture,,Geography/Entrepreneurship,General Paper,37.9
AGE,Bachelor of Science in Agricultural Engineering,Mathematics,Physics,Chemistry/Agriculture/Technical Drawing,General Paper,45.8

CIV,Bachelor of Engineering in Civil Engineering,Mathematics,Physics,Chemistry/Geography/Technical Drawing,General Paper,48.9
ELE,Bachelor of Engineering in Electrical Engineering,Mathematics,Physics,Chemistry/Economics/Technical Drawing,General Paper,47.6
MEC,Bachelor of Engineering in Mechanical Engineering,Mathematics,Physics,Chemistry/Technical Drawing,General Paper,46.5

WRE,Bachelor of Science in Water Resources Engineering,Mathematics,Physics,Chemistry/Geography,General Paper,46.2
ENV,Bachelor of Environmental Engineering,Mathematics,Physics,Chemistry/Geography,General Paper,45.7

CSC,Bachelor of Science in Computer Engineering,Mathematics,Physics,Chemistry/Economics,General Paper,46.8

FST,Bachelor of Science in Food Science and Technology,Biology,Chemistry,Agriculture/Mathematics/Food & Nutrition,General Paper,42.4

AED,Bachelor of Arts with Education,Any,Any,Relevant Arts subjects,General Paper,36.8
SEB,Bachelor of Science Education (Biology),Biology,Chemistry,Mathematics/Physics,General Paper,38.1
SEP,Bachelor of Science Education (Physics),Mathematics,Physics,Chemistry/Economics,General Paper,39.0
SEM,Bachelor of Science Education (Mathematics),Mathematics,,Physics/Economics,General Paper,38.5
