Course_Code,Course_Name,Essential_1,Essential_2,Relevant,Desirable,Cut_off
GAM,Bachelor of Medicine and Bachelor of Surgery,Biology,Chemistry,Mathematics/Physics,General Paper,47.9
NUR,Bachelor of Nursing Science,Biology,Chemistry,Mathematics/Physics,General Paper,43.8
MLS,Bachelor of Medical Laboratory Science,Biology,Chemistry,Mathematics/Physics,General Paper,44.1
BPH,Bachelor of Public Health,Biology,Chemistry,Geography/Mathematics,General Paper,41.2

AGR,Bachelor of Science in Agriculture,Biology,Chemistry/Agriculture,Geography/Mathematics/Physics,General Paper,39.5
AGB,Bachelor of Agribusiness,Economics/Agriculture,,Geography/Entrepreneurship,General Paper,38.4

CSC,Bachelor of Science in Computer Science,Mathematics,Physics/Economics,Chemistry/Geography,General Paper,44.6
BIT,Bachelor of Information Technology,Any,Any,Any,General Paper,42.3

ECO,Bachelor of Economics,Economics,,Mathematics/Geography/History,General Paper,40.7
BBA,Bachelor of Business Administration,Economics/Entrepreneurship,,Any,General Paper,41.5
COM,Bachelor of Commerce,Economics/Mathematics,,Any,General Paper,40.2

DEV,Bachelor of Development Studies,Any,Any,Geography/Economics,General Paper,39.6
SWK,Bachelor of Social Work and Social Administration,Any,Any,History/CRE/Geography,General Paper,40.1
PSY,Bachelor of Arts in Psychology,Any,Any,Biology/CRE/History,General Paper,41.0

AED,Bachelor of Arts with Education,Any,Any,Relevant Arts subjects,General Paper,37.2
SEB,Bachelor of Science Education (Biology),Biology,Chemistry,Mathematics/Physics,General Paper,38.6
SEP,Bachelor of Science Education (Physics),Mathematics,Physics,Chemistry/Economics,General Paper,39.4
SEM,Bachelor of Science Education (Mathematics),Mathematics,,Physics/Economics,General Paper,38.9
