Course_Code,Course_Name,Essential_1,Essential_2,Relevant,Desirable,Cut_off
KAM,Bachelor of Medicine and Bachelor of Surgery,Biology,Chemistry,Mathematics/Physics,General Paper,48.1
NUR,Bachelor of Nursing Science,Biology,Chemistry,Mathematics/Physics,General Paper,43.5
MLS,Bachelor of Medical Laboratory Science,Biology,Chemistry,Mathematics/Physics,General Paper,43.9
PHE,Bachelor of Public Health,Biology,Chemistry,Geography/Mathematics,General Paper,41.7

AGR,Bachelor of Science in Agriculture,Biology,Chemistry/Agriculture,Geography/Mathematics/Physics,General Paper,39.2
AGB,Bachelor of Agribusiness,Economics/Agriculture,,Geography/Entrepreneurship,General Paper,38.3

CSC,Bachelor of Science in Computer Science,Mathematics,Physics/Economics,Chemistry/Geography,General Paper,43.8
BIT,Bachelor of Information Technology,Any,Any,Any,General Paper,42.1

ECO,Bachelor of Economics,Economics,,Mathematics/Geography/History,General Paper,40.4
BBA,Bachelor of Business Administration,Economics/Entrepreneurship,,Any,General Paper,41.2
COM,Bachelor of Commerce,Economics/Mathematics,,Any,General Paper,40.0

DEV,Bachelor of Development Studies,Any,Any,Geography/Economics,General Paper,39.1
SWK,Bachelor of Social Work and Social Administration,Any,Any,History/CRE/Geography,General Paper,39.8
PSY,Bachelor of Arts in Psychology,Any,Any,Biology/CRE/History,General Paper,40.6

AED,Bachelor of Arts with Education,Any,Any,Relevant Arts subjects,General Paper,36.9
SEB,Bachelor of Science Education (Biology),Biology,Chemistry,Mathematics/Physics,General Paper,38.2
SEP,Bachelor of Science Education (Physics),Mathematics,Physics,Chemistry/Economics,General Paper,39.1
SEM,Bachelor of Science Education (Mathematics),Mathematics,,Physics/Economics,General Paper,38.7
