Course_Code,Course_Name,Essential_1,Essential_2,Relevant,Desirable,Cut_off
KAM,Bachelor of Medicine and Bachelor of Surgery,Biology,Chemistry,Mathematics/Physics,General Paper,48.6
NUR,Bachelor of Nursing Science,Biology,Chemistry,Mathematics/Physics,General Paper,44.2
ENV,Bachelor of Environmental Health Science,Biology,Chemistry,Geography/Physics/Math,General Paper,41.5
BTC,Bachelor of Science in Biotechnology,Biology,Chemistry,Mathematics/Physics,General Paper,43.3
BPH,Bachelor of Public Health,Biology,Chemistry,Mathematics/Geography,General Paper,42.1
BMR,Bachelor of Science in Medical Radiography,Biology,Physics,Mathematics/Chemistry,General Paper,44.0
MLT,Bachelor of Medical Laboratory Science,Biology,Chemistry,Mathematics/Physics,General Paper,43.7

CIV,Bachelor of Engineering in Civil Engineering,Mathematics,Physics,Chemistry/Geography/Technical Drawing,General Paper,49.8
ELE,Bachelor of Engineering in Electrical Engineering,Mathematics,Physics,Chemistry/Economics,General Paper,48.5
MEC,Bachelor of Engineering in Mechanical Engineering,Mathematics,Physics,Chemistry/Technical Drawing,General Paper,47.6
TEL,Bachelor of Engineering in Telecommunications Engineering,Mathematics,Physics,Chemistry/Economics,General Paper,46.9

CSC,Bachelor of Science in Computer Science,Mathematics,Physics/Economics,Chemistry/Geography,General Paper,46.2
BIT,Bachelor of Information Technology,Any,Any,Any,General Paper,44.0
BSE,Bachelor of Software Engineering,Mathematics,Physics/Economics,Chemistry/Geography,General Paper,47.1

STA,Bachelor of Statistics,Mathematics,,Economics/Physics,General Paper,38.2
ECO,Bachelor of Economics,Economics,,Mathematics/Geography/History,General Paper,41.6
BQE,Bachelor of Quantitative Economics,Mathematics,Economics,Physics/Geography,General Paper,43.9

BBA,Bachelor of Business Administration,Economics/Entrepreneurship,,Any,General Paper,42.8
COM,Bachelor of Commerce,Economics/Mathematics,,Any,General Paper,41.5
ENT,Bachelor of Entrepreneurship,Entrepreneurship/Economics,,Any,General Paper,40.2
Course_Code,Course_Name,Essential_1,Essential_2,Relevant,Desirable,Cut_off
SEB,Bachelor of Science Education (Biology),Biology,Chemistry,Mathematics/Physics,General Paper,38.5
SEP,Bachelor of Science Education (Physics),Mathematics,Physics,Chemistry/Economics,General Paper,40.3
SEM,Bachelor of Science Education (Math),Mathematics,,Physics/Economics,General Paper,39.1

AED,Bachelor of Arts with Education,Any,Any,Relevant Arts subjects,General Paper,37.0
ART,Bachelor of Arts,Any,Any,History/Geography/Literature,General Paper,39.8
SWK,Bachelor of Social Work and Social Administration,Any,Any,History/Geography/CRE,General Paper,40.5
PSY,Bachelor of Arts in Psychology,Any,Any,Biology/History/CRE,General Paper,42.0
DEV,Bachelor of Development Studies,Any,Any,Geography/Economics,General Paper,41.3

JMC,Bachelor of Journalism and Mass Communication,Any,Any,Literature/History,General Paper,44.5
LNG,Bachelor of Languages,Any,Any,Literature,General Paper,38.4
Course_Code,Course_Name,Essential_1,Essential_2,Relevant,Desirable,Cut_off
FTN,Bachelor of Human Nutrition and Dietetics,Biology,Chemistry,Food & Nutrition/Math,General Paper,42.7
FAD,Bachelor of Fashion and Design,Art,Any,Technical Drawing,General Paper,36.5
IND,Bachelor of Industrial Art and Design,Art,Any,Technical Drawing,General Paper,35.9
BTM,Bachelor of Tourism Management,Geography/Economics,,History/Literature,General Paper,41.0
HSM,Bachelor of Hospitality Management,Food & Nutrition/Economics,,Any,General Paper,40.6

BSP,Bachelor of Sports Science,Any,Any,Biology/Physical Education,General Paper,39.2
