Course_Code,Course_Name,Essential_1,Essential_2,Relevant,Desirable,Cut_off
MBM,Bachelor of Medicine and Bachelor of Surgery,Biology,Chemistry,Mathematics/Physics,General Paper,49.5
PHA,Bachelor of Pharmacy,Biology,Chemistry,Mathematics/Physics,General Paper,49.3
NUR,Bachelor of Nursing Science,Biology,Chemistry,Mathematics/Physics,General Paper,46.3
PHY,Bachelor of Science in Physiotherapy,Biology,Physics/Mathematics,Mathematics/Physics/Chemistry,General Paper,47.4
CVE,Bachelor of Science in Civil Engineering,Mathematics,Physics,Chemistry/Economics/Technical Drawing,General Paper,51.2
EEE,Bachelor of Engineering in Electrical and Electronics Engineering,Mathematics,Physics,Chemistry/Economics/Technical Drawing,General Paper,50.0
BME,Bachelor of Biomedical Engineering,Biology/Physics/Mathematics,Biology/Physics/Mathematics,Chemistry/Economics/Technical Drawing,General Paper,47.9
MIE,Bachelor of Science in Mechanical and Industrial Engineering,Mathematics,Physics,Chemistry/Economics/Technical Drawing,General Paper,48.9
SEB,Bachelor of Science Education (Biological),Biology,Chemistry,Mathematics/Physics,General Paper,40.0
SEP,Bachelor of Science Education (Physical),Mathematics,Physics,Chemistry/Economics,General Paper,43.1
MLS,Bachelor of Medical Laboratory Science,Biology,Chemistry,Mathematics/Physics,General Paper,
BIT,Bachelor of Information Technology,Any,Any,Any,General Paper,
