Course_Code,Course_Name,Essential_1,Essential_2,Relevant,Desirable,Cut_off
CSC,Bachelor of Science in Computer Science,Mathematics,Physics/Economics,Chemistry/Geography,General Paper,44.0
BIT,Bachelor of Information Technology,Any,Any,Any,General Paper,42.2

AGR,Bachelor of Science in Agriculture,Biology,Chemistry/Agriculture,Geography/Mathematics/Physics,General Paper,38.8

BNS,Bachelor of Nursing Science,Biology,Chemistry,Mathematics/Physics,General Paper,42.5
MLS,Bachelor of Medical Laboratory Science,Biology,Chemistry,Mathematics/Physics,General Paper,43.1
PHE,Bachelor of Public Health,Biology,Chemistry,Geography/Mathematics,General Paper,40.6

AED,Bachelor of Arts with Education,Any,Any,Relevant Arts subjects,General Paper,36.7
SEB,Bachelor of Science Education (Biology),Biology,Chemistry,Mathematics/Physics,General Paper,38.0
SEP,Bachelor of Science Education (Physics),Mathematics,Physics,Chemistry/Economics,General Paper,38.8
SEM,Bachelor of Science Education (Mathematics),Mathematics,,Physics/Economics,General Paper,38.3
